anomaly_ratio_bin,algorithm,auroc,auprc,vus_roc,vus_pr,vus_roc_approx,vus_pr_approx,runtime_sec,n,feature,length_bin,mean_anomaly_duration_bin,seasonality_proxy_bin,noise_proxy_bin
,lof,0.7384907350384808,0.09690432935208149,0.8283354526501743,0.45197231076588995,0.7523977857710578,0.5256671382660327,1.0929443895583972,20,mean_anomaly_duration,,low,,
,matrix_profile,0.5723565583799428,0.04611148388876563,0.7373990758335114,0.3895903113290962,0.6397681322718378,0.44645110148624456,2.031736958399415,20,mean_anomaly_duration,,low,,
,rolling_zscore,0.7686592917387929,0.3864068162377644,0.8780320788772086,0.36995482214657394,0.5207397181373212,0.32879030113510943,0.4091883375076577,20,mean_anomaly_duration,,low,,
,ik_density,0.606351663978725,0.23561030658074494,0.6568633580060997,0.3288304047284917,0.6244174020174555,0.3619117491503326,6.311648318776861,20,mean_anomaly_duration,,medium,,
,isolation_forest,0.6952193595694539,0.3709023872070201,0.7216707199773746,0.4404577709523977,0.706452607807835,0.4792229958667035,0.6618379041319713,20,mean_anomaly_duration,,medium,,
,knn,0.8102748830591713,0.42631894395334713,0.8287633102094801,0.5296170791198539,0.8181589348585687,0.5825371848711153,0.873102149902843,20,mean_anomaly_duration,,medium,,
,lof,0.6966004184251726,0.31109369813661764,0.7705612856146092,0.44101171182255355,0.7262024279643395,0.46387407900955707,0.8780507188523188,20,mean_anomaly_duration,,medium,,
,matrix_profile,0.6232080663940054,0.25005931174195306,0.6733379996632894,0.352581787135234,0.6383183319404242,0.4104905765347966,0.6059071022085846,20,mean_anomaly_duration,,medium,,
,rolling_zscore,0.49143276758295873,0.14922548436925792,0.5787896465272271,0.20768106495638064,0.48673067023625327,0.20473122914571965,0.3126759061357006,20,mean_anomaly_duration,,medium,,
,ik_density,0.5642146898664624,0.26918851482619377,0.5695248735909679,0.28366528208623476,0.5705244310786675,0.30467014134528375,10.480996497883462,20,mean_anomaly_duration,,high,,
,isolation_forest,0.6738334250355081,0.3377240352085965,0.683458708603111,0.34795815735312907,0.6844497672296612,0.3788038937585412,0.8975183542119339,20,mean_anomaly_duration,,high,,
,knn,0.5567559389261891,0.2594153158968087,0.5700064704034409,0.26836003085283316,0.5764761782095785,0.29824881230801037,1.8322827771538868,20,mean_anomaly_duration,,high,,
,lof,0.6183436721629831,0.26449479489913896,0.640517452511496,0.2769516065809442,0.6330755162664375,0.2875592152387042,1.8930639062076806,20,mean_anomaly_duration,,high,,
,matrix_profile,0.5784985819246956,0.2645793504679117,0.5922144179903656,0.2757970598452315,0.5847622273330823,0.2795804165295873,1.176426877034828,20,mean_anomaly_duration,,high,,
